"Virus","Domain","Realm","Kingdom","Phylum","Class","Order","Family"
"Sentinel_9_S9_500190_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_9_S9_10745_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Kyanoviridae"
"Sentinel_9_S9_459908_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_10_S10_549143_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_10_S10_236955_extended_partial","Viruses","Monodnaviria","Sangervirae","Phixviricota","Malgrandaviricetes","Petitvirales","Microviridae"
"Sentinel_10_S10_352376_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_10_S10_407091_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_17_S17_680822_extended_circular","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_17_S17_278536_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_17_S17_853090_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_17_S17_456309_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_17_S17_124654_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
